,duration,cost
2140,year,552
2141,year,547
2142,year,615
2143,year,637
2144,year,577
2145,year,672
2146,year,520
2147,year,538
2148,year,502
2149,year,565
2150,year,683
2151,year,609
2152,year,737
2153,year,549
2154,year,567
2155,year,631
2156,year,538
2157,year,656
2158,year,686
2159,year,566
2160,year,669
2161,year,586
2162,year,560
2163,year,664
2164,year,614
2165,year,551
2166,year,626
2167,year,657
2168,year,517
2169,year,553
2170,year,675
2171,year,757
2172,year,605
2173,year,724
2174,year,710
2175,year,570
2176,year,599
2177,year,645
2178,year,581
2179,year,615
2180,year,475
2181,year,583
2182,year,569
2183,year,693
2184,year,605
2185,year,666
2186,year,623
2187,year,587
2188,year,645
2189,year,568
2190,year,551
2191,year,531
2192,year,634
2193,year,531
2194,year,477
2195,year,626
2196,year,564
2197,year,525
2198,year,572
2199,year,584
2200,year,552
2201,year,630
2202,year,645
2203,year,503
2204,year,534
2205,year,592
2206,year,541
2207,year,589
2208,year,572
2209,year,621
2210,year,657
2211,year,627
2212,year,563
2213,year,607
2214,year,560
2215,year,554
2216,year,612
2217,year,547
2218,year,674
2219,year,640
2220,year,567
2221,year,544
2222,year,534
2223,year,647
2224,year,626
2225,year,607
2226,year,683
2227,year,705
2228,year,599
2229,year,633
2230,year,628
2231,year,562
2232,year,567
2233,year,563
2234,year,603
2235,year,566
2236,year,589
2237,year,557
2238,year,662
2239,year,499
2240,year,583
2241,year,606
2242,year,531
2243,year,664
2244,year,579
2245,year,611
2246,year,684
2247,year,597
2248,year,582
2249,year,528
2250,year,546
2251,year,559
2252,year,603
2253,year,698
2254,year,654
2255,year,547
2256,year,605
2257,year,636
2258,year,732
2259,year,466
2260,year,656
2261,year,690
2262,year,528
2263,year,570
2264,year,504
2265,year,680
2266,year,553
2267,year,616
2268,year,607
2269,year,666
2270,year,616
2271,year,653
2272,year,449
2273,year,596
2274,year,608
2275,year,668
2276,year,666
2277,year,645
2278,year,592
2279,year,567
2280,year,586
2281,year,642
2282,year,546
2283,year,581
2284,year,674
2285,year,735
2286,year,626
2287,year,648
2288,year,541
2289,year,676
2290,year,493
2291,year,561
2292,year,690
2293,year,702
2294,year,579
2295,year,604
2296,year,652
2297,year,580
2298,year,613
2299,year,579
2300,year,618
2301,year,739
2302,year,620
2303,year,591
2304,year,639
2305,year,555
2306,year,518
2307,year,615
2308,year,589
2309,year,679
2310,year,624
2311,year,690
2312,year,617
2313,year,597
2314,year,592
2315,year,578
2316,year,564
2317,year,484
2318,year,671
2319,year,517
2320,year,608
2321,year,572
2322,year,573
2323,year,486
2324,year,568
2325,year,595
2326,year,490
2327,year,632
2328,year,616
2329,year,654
2330,year,672
2331,year,593
2332,year,589
2333,year,593
2334,year,696
2335,year,733
2336,year,592
2337,year,534
2338,year,689
2339,year,583
2340,year,552
2341,year,580
2342,year,591
2343,year,598
2344,year,563
2345,year,628
2346,year,602
2347,year,576
2348,year,588
2349,year,704
2350,year,695
2351,year,609
2352,year,696
2353,year,612
2354,year,570
2355,year,597
2356,year,602
2357,year,674
2358,year,607
2359,year,580
2360,year,620
2361,year,606
2362,year,478
2363,year,557
2364,year,638
2365,year,578
2366,year,529
2367,year,552
2368,year,562
2369,year,596
2370,year,572
2371,year,591
2372,year,638
2373,year,683
2374,year,647
2375,year,633
2376,year,615
2377,year,702
2378,year,643
2379,year,618
2380,year,586
2381,year,565
2382,year,704
2383,year,610
2384,year,669
2385,year,563
2386,year,494
2387,year,559
2388,year,580
2389,year,652
2390,year,554
2391,year,631
2392,year,498
2393,year,599
2394,year,518
2395,year,576
2396,year,694
2397,year,561
2398,year,653
2399,year,579
